Date,Lat,Long,confirmed,cured,dead
2020/3/21,-38.4161,-63.6167,158,3,4
2020/3/22,-38.4161,-63.6167,266,3,4
2020/3/23,-38.4161,-63.6167,301,3,4
2020/3/24,-38.4161,-63.6167,387,52,6
2020/3/25,-38.4161,-63.6167,387,52,8
2020/3/26,-38.4161,-63.6167,502,63,9
2020/3/27,-38.4161,-63.6167,589,72,13
2020/3/28,-38.4161,-63.6167,690,72,18
2020/3/29,-38.4161,-63.6167,745,72,19
2020/3/30,-38.4161,-63.6167,820,228,23
2020/3/31,-38.4161,-63.6167,1054,240,27
2020/4/1,-38.4161,-63.6167,1054,248,28
2020/4/2,-38.4161,-63.6167,1133,256,36
2020/4/3,-38.4161,-63.6167,1265,266,39
2020/4/4,-38.4161,-63.6167,1451,279,43
2020/4/5,-38.4161,-63.6167,1451,280,44
2020/4/6,-38.4161,-63.6167,1554,325,48
2020/4/7,-38.4161,-63.6167,1628,338,56
2020/4/8,-38.4161,-63.6167,1715,358,63
2020/4/9,-38.4161,-63.6167,1795,365,72
2020/4/10,-38.4161,-63.6167,1975,375,82
2020/4/11,-38.4161,-63.6167,1975,440,83
2020/4/12,-38.4161,-63.6167,2142,468,90
