date,confirmed,,dead,latitude,longitude
2020/1/24,1,0,0,31.95019913,108.6699982
2020/1/24,1,0,0,29.88750076,107.7149963
2020/1/24,2,0,0,30.32379913,107.3570023
2020/1/24,3,0,0,30.29859924,108.0319977
2020/1/24,2,0,0,30.96689987,108.8919983
2020/1/24,1,0,0,31.05480003,109.5250015
2020/1/24,3,0,0,31.08139992,109.8889999
2020/1/24,2,0,0,31.40620041,109.6230011
2020/1/24,3,0,0,29.99279976,108.1190033
2020/1/24,1,0,0,28.45030022,108.987999
2020/1/24,16,0,0,30.65049934,104.0780029
2020/1/24,1,0,0,29.37039948,104.776001
2020/1/24,1,0,0,28.88439941,105.4369965
2020/1/24,1,0,0,31.13249969,104.3909988
2020/1/24,2,0,0,31.45910072,104.75
2020/1/24,2,0,0,30.50399971,105.5699997
2020/1/24,1,0,0,29.5807991,105.0540008
2020/1/24,2,0,0,30.463984,106.63572
2020/1/24,1,0,0,31.214199,107.494973
2020/1/24,1,0,0,29.98559952,102.9850006
2020/1/24,1,0,0,26.58069992,106.7089996
2020/1/24,2,0,0,27.72249985,109.1930008
2020/1/24,1,0,0,26.264536,107.523205
2020/1/24,3,0,0,25.04579926,102.7109985
2020/1/24,1,0,0,26.87459946,100.2360001
2020/1/24,1,0,0,22.009433,100.803038
2020/1/24,1,0,0,38.46730042,106.2740021
2020/1/24,1,0,0,36.021523,106.285268
2020/1/24,1,0,0,37.507532,105.204143
2020/1/24,3,0,0,43.79119873,87.60379791
2020/1/25,11,0,0,39.93170166,116.3690033
2020/1/25,4,0,0,39.92,116.37319
2020/1/25,6,0,0,39.91479874,116.4449997
2020/1/25,2,0,0,39.84970093,116.2850037
2020/1/25,1,0,0,39.92110062,116.163002
2020/1/25,8,0,0,39.98360062,116.3010025
2020/1/25,3,0,0,39.90620041,116.6589966
2020/1/25,1,0,0,40.12779999,116.6419983
2020/1/25,3,0,0,40.221724,116.216456
2020/1/25,2,0,0,39.65279,116.425195
2020/1/25,1,0,0,39.1371994,117.1880035
2020/1/25,1,0,0,39.124809,117.202814
2020/1/25,3,0,0,39.126626,117.261693
2020/1/25,1,0,0,39.116987,117.162728
2020/1/25,2,0,0,39.173149,117.220297
2020/1/25,1,0,0,39.035065,117.126201
2020/1/25,1,0,0,39.010313,117.71682
2020/1/25,5,0,0,38.04299927,114.4889984
2020/1/25,2,0,0,36.59370041,114.4729996
2020/1/25,3,0,0,38.85599899,115.5029984
2020/1/25,1,0,0,40.96609879,117.9209976
2020/1/25,2,0,1,38.30929947,116.862999
2020/1/25,2,0,0,37.87400055,112.5650024
2020/1/25,1,0,0,40.09320068,113.2969971
2020/1/25,1,0,0,37.86130142,113.5729981
2020/1/25,1,0,0,36.18379974,113.1039963
2020/1/25,2,0,0,37.693362,112.738514
2020/1/25,2,0,0,35.01459885,110.9940033
2020/1/25,1,0,0,42.26929855,118.9530029
2020/1/25,2,0,0,39.81649,109.993706
2020/1/25,2,0,0,49.201636,119.760822
2020/1/25,2,0,0,43.939705,116.02734
2020/1/25,5,0,0,41.78850174,123.4209976
2020/1/25,4,0,0,38.91239929,121.5910034
2020/1/25,1,0,0,41.29040146,123.7649994
2020/1/25,2,0,0,42.29579926,123.848999
2020/1/25,2,0,0,41.58039856,120.4520035
2020/1/25,2,0,0,40.75630188,120.8499985
2020/1/25,1,0,0,43.88479996,125.3099976
2020/1/25,2,0,0,43.90810013,126.5670013
2020/1/25,1,0,0,45.17300034,124.8229981
2020/1/25,8,0,0,45.74269867,126.6460037
2020/1/25,1,0,0,47.34540176,123.9649963
2020/1/25,3,0,0,46.59260178,125.026001
2020/1/25,1,0,0,44.58100128,129.5970001
2020/1/25,2,0,1,46.63800049,126.9830017
2020/1/25,7,0,0,32.05260086,118.7699966
2020/1/25,2,0,0,31.5746994,120.2979965
2020/1/25,5,0,0,31.78280067,119.9530029
2020/1/25,7,1,0,31.31279945,120.6190033
2020/1/25,2,0,0,32.01050186,120.8550034
2020/1/25,3,0,0,34.60480118,119.1719971
2020/1/25,1,0,0,33.50289917,119.1419983
2020/1/25,1,0,0,33.38529968,120.1340027
2020/1/25,1,0,0,32.39139938,119.4380035
2020/1/25,1,0,0,32.49599838,119.9120026
2020/1/25,1,0,0,33.95840073,118.2979965
2020/1/25,27,0,0,30.29409981,120.1689987
2020/1/25,13,0,0,29.86630058,121.5429993
2020/1/25,18,1,0,28.0182991,120.6539993
2020/1/25,8,0,0,30.76749992,120.7539978
2020/1/25,1,0,0,30.86499977,120.0999985
2020/1/25,5,0,0,30.00449944,120.5790024
2020/1/25,3,0,0,29.10470009,119.651001
2020/1/25,3,0,0,28.95680046,118.8679962
2020/1/25,2,0,0,30.01519966,122.1019974
2020/1/25,21,0,0,28.67250061,121.4479981
2020/1/25,3,0,0,28.44869995,119.9140015
2020/1/25,13,0,0,31.86450005,117.2770004
2020/1/25,3,0,0,31.33499908,118.362999
2020/1/25,1,0,0,32.94129944,117.362999
2020/1/25,1,0,0,32.61880112,117.0220032
2020/1/25,7,0,0,31.72529984,118.4830017
2020/1/25,1,0,0,33.97140121,116.7900009
2020/1/25,3,0,0,30.92350006,117.814003
2020/1/25,5,0,0,30.51230049,117.0350037
2020/1/25,1,0,0,29.71570015,118.3099976
